"serialNumber","chassisNumber","vehicleNumber","customerId"
"607417-042-0336441",MAT627502SLN40620,,"78357039"
"607417-035-0660999",MAT634132SPKE1865,MP22ZH8002,"78233783"
"607417-042-0186816",MEXBPHPB0SG018980,MH26CY1470,"78342218"
"607417-042-0186817",MEXKPKPCXSG049188,MH22BC9024,"78344320"
"607417-035-0870215",MEXJ25CW1TT011496,PB08FW4836,"78298298"
"607417-035-0974416",MZBGB814LSN261145,BR01JT9555,"78305987"
"607417-036-0150446",MA3JDT08BSKF38251,WB18AQ1017,"78239574"
"607417-037-0933616",MAT627511SAH82260,GJ06RD9575,"78224155"
"607417-038-0506971",MCAPJ8BYXSFA15164,"25BH4718R","78328364"
"607417-038-0690354",MBHKWD13SSK694585,UP55AY4214,"78276231"
"607417-038-0693002",MAT559060SZK29898,TN48CY8438,"78226438"
"607417-038-0694750",MALBH512TSM385630,HR87V4965,"78228247"
"607417-038-0712427",MALB181CLSM193574,UK04AR7776,"78228108"
"607417-038-0712446",MEEHBC008S9130198,UK14N1881,"78287287"
"607417-038-0727075",MA3ZFDFSKSL319973,CH02AA6077,"78326546"
"607417-038-0727638",MA3ZFDFSKSJ290740,KA41MG1142,"78292808"
"607417-038-0727881",MA3JMTC1SSLD95997,GA09E1809,"78337208"
"607417-038-0731280",MAT634132SPNE5343,MH29CJ6535,"78269119"
"607417-038-0731284",MAT632375SLG03235,MH49CS2289,"78271124"
"607417-038-0731424",MAT627631SLK36353,MH30BW9048,"78303285"
"607417-038-0736029",MBHKWD13SSK699810,UP51BY2714,"78330392"
"607417-042-0223256",MAT632366SLH05266,PB02FE2329,"78258242"
"607417-042-0266471",MA1NS2NWPS2J67036,UP16FH5366,"78249923"
"607417-040-0517890",MBHJWC13SSGA70738,MH28CC4562,"78319714"
"607417-040-0519273",MA3JMTB1SSCC79146,UP32RD5990,"78282639"
"607417-040-0599463",MA1NS2NU1S2K76905,BR01JS1186,"78245277"
"607417-040-0599926",MA1VP271BS6J85524,PB02FE4899,"78265565"
"607417-042-0129573",MZ72D5FEK8H048864,KA28MB3344,"78308994"
"607417-042-0165124",MALB351CLSM654672,UK06BP3510,"78284867"
"607417-042-0166444",MA3JMTB1SSKD81634,UP42CB3782,"78276400"
"607417-042-0170692",MBHHWB13SSEA29049,UP23AU8560,"78226914"
"607417-042-0182626",MA3RYHL1SSH668730,HP06C6449,"78218888"
"607417-042-0182887",MAT556051SVJ28841,MH29CM0377,"78222578"
"607417-042-0183014",MA3BNC62SSKB46294,MH37AH5630,"78335865"
"607417-042-0184889",MA1UN4KY782K10625,UP16FL0197,"78236039"
"607417-042-0184937",MA1RY2JNKS5K37454,UK08TB2650,"78289473"
"607417-042-0210303",MALBG512LSM378280,UK06BQ6161,"78219246"
"607417-042-0210328",MALPA813MSM265710,UK06BP3867,"78223150"
"607417-042-0210340",MALPB812TSM274470,UK07HH8625,"78249568"
"607417-042-0210355",MALPA813LSM290549,UK06BP5253,"78286739"
"607417-042-0210359",MALPA813LSM290550,UK06BP6426,"78299152"
"607417-042-0222545",MBJABBAA301529348,UK18V9351,"78252209"
"607417-042-0223678",MALPB813MSM262265,PB06BM1156,"78228160"
"607417-042-0225465",MA3TFC62SSC333464,UP57CA0187,"78263800"
"607417-042-0225501",MA3BNC6SSLB54938,UP56BF8512,"78320875"
"607417-042-0225810",MBJABBAA501521848,BR22BR8878,"78261809"
"607417-042-0236302",MA3RYHK1SSK681688,UK19C1379,"78230418"
"607417-042-0236417",MAZFDFSKSJ288527,UK02TA3020,"78226792"
"607417-042-0237642",WAUZASF41SY700928,HR98Z2332,"78343904"
"607417-042-0237882",MA1XL2TVXS5K39404,UP20CX0965,"78285093"
"607417-042-0238586",MA1RV2TUKS6K29132,KL86D4654,"78222496"
"607417-042-0239742",MAT867013SPKE3129,UP21DP5945,"78272990"
"607417-042-0239775",MAT867015SPNF0488,UP22BJ3098,"78346632"
"607417-042-0240154",MAT632368SLG01357,UP70HS9627,"78252847"
"607417-042-0240399",MA1TJ2YD6S6L66256,UP32RD8432,"78341117"
"607417-042-0240450",MA1NE2ZTFS6H51675,UP32QY6831,"78232798"
"607417-042-0262509",MAT635346SAKA8443,UP61BS3163,"78334500"
"607417-042-0262653",MAT867013SPKD4356,UP66AM7014,"78228534"
"607417-042-0263115",MBHHWB13SSKB37519,HP03E0669,"78236215"
"607417-042-0263118",MBHKWD13SSK697763,HP63F0272,"78247840"
"607417-042-0263227",MBHHWB13SSJB03965,HP11B5506,"78253966"
"607417-042-0263716",MA1NS2NVPS2J67006,HR26GA2613,"78254013"
"607417-042-0265404",MALBK511VSM355653,TN34AK6730,"78244666"
"607417-042-0266289",MA1UN2JV2S2K15959,UP16FF0045,"78227914"
"607417-042-0266508",MA1UJ2TZ2S2L28921,UP85DA0036,"78346725"
"607417-042-0267371",MAT626081SKN88449,MH49CS3354,"78308412"
"607417-042-0267409",MAT855331SLK21410,MH40DE2995,"78279764"
"607417-042-0268211",MA3BNC62SSKB35279,UP42CA5129,"78213614"
"607417-042-0268270",MBHKWD13SSK701046,UP42CB3163,"78346227"
"607417-042-0268389",MA3RYHK1SSK693835,UP58AL7857,"78225114"
"607417-042-0268867",MAZFDFSKSJ279648,UP78JJ7512,"78219338"
"607417-042-0269083",MBHZCDESKSK447579,UP32RD5270,"78266114"
"607417-042-0269135",MA3ZFDFSKSH262526,UP32RF1008,"78353055"
"607417-042-0269193",MA3JMTB1SSCC75803,UP32RC4602,"78213037"
"607417-042-0269393",MBHKWD13SSK695396,UP32RC8773,"78254833"
"607417-042-0269434",MA3CNC72SSK432300,UP32RD6348,"78282055"
"607417-042-0269537",MBHKWD13SSL703651,UP32RC8214,"78252246"
"607417-042-0269648",MA3YPMCSKSK109995,UP53FN3581,"78222211"
"607417-042-0270526",MZZCCHME8SV0287358S,TG15G8183,"78246659"
"607417-042-0270551",MZZCCHME1SV0292909S,TG05E4721,"78264262"
"607417-042-0312683",MALBH512TSM386271,UP16FJ0545,"78306308"
"607417-042-0312725",MALPC812TSM265554,UP16FJ4575,"78351675"
"607417-042-0313064",MA1VR251BS6J87543,UP14GW5758,"78244256"
"607417-042-0313106",MA1NS2EW42S2A76421,UP14GY4218,"78317392"
"607417-042-0313156",MA1TJ2YGTS6K68066,UP16FH9961,"78287055"
"607417-042-0313362",MA3RYHK1SSH664548,PB70N3373,"78339482"
"607417-042-0313391",MBHZCDESKSG374939,PB27M8402,"78238174"
"607417-042-0313451",MA3RYHK1SSG647503,CH01DB7104,"78330812"
"607417-042-0313557",WBA17EV07SY452566,CH01DB0078,"78335432"
"607417-042-0313754",MBHZCDESKSK451902,HP853863,"78302010"
"607417-042-0313880",MA3SFM61SSL434599,HP03E3237,"78335189"
"607417-042-0314008",MA3SFM61SSL436515,HP74B1276,"78346585"
"607417-042-0314769",MA1XL2TVXS5K39862,UK07HG8051,"78239096"
"607417-042-0315028",MAT867015SPKE4609,UP63BK1777,"78318518"
"607417-042-0315581",MZBFB812LSN572781,KA03NX6496,"78294572"
"607417-042-0315616",MZBGC815LSN246384,KA53MP8777,"78315763"
"607417-042-0315829",MA3BNC72SSKB48147,KA16Z3565,"78265224"
"607417-042-0315850",MA3ZFDFSKSK312686,KA53AC4703,"78309463"
"607417-042-0315861",MBHZCDESKSG385949,KA12MC6311,"78234821"
"607417-042-0316069",MBJAABAA701423858,TG10E1311,"78338585"
"607417-042-0316409",MAT627631SLK36006,KA23P5313,"78265138"
"607417-042-0316866",MA3RYHL1SSK693452,"26BH7577B","78239860"
"607417-042-0316877",MA3RYHK1SSL702449,UK07HH8430,"78266783"
"607417-042-0316966",MAT634131SPF87336,UP16FH2627,"78262524"
"607417-042-0317181",MBHZCDESKSK443578,KA41MG0712,"78228720"
"607417-042-0317271",MBHZCDESKSK444923,KA54M5191,"78233415"
"607417-042-0317284",MA3JMTB1SSKD87520,KA11P6915,"78261216"
"607417-042-0317357",MBHZCDESKSK446744,KA14MC3690,"78229071"
"607417-042-0317776",MA3RYHK1SSK695750,RJ01CG3692,"78217734"
"607417-042-0317795",MA3JMTB1SSKD90923,RJ36CB5247,"78266800"
"607417-042-0317898",MA3NFG81SSH475519,UK14N4048,"78208569"
"607417-042-0318775",MA3YPLCSKSK111504,UP25EQ5094,"78335117"
"607417-042-0319385",MA3RYHK1SSK692783,UK07HG7048,"78214535"
"607417-042-0319511",MALBG512LSM379721,UK14N8085,"78229772"
"607417-042-0319534",MALFC81AVSM750166,UK07HG1119,"78251698"
"607417-042-0319652",MZBGB814LSN257511,UP85DA2044,"78238744"
"607417-042-0319691",MAT867017SPJC9056,UP25EP4806,"78219499"
"607417-042-0319853",MAT634141SPKE2722,UK06BP6156,"78273412"
"607417-042-0320020",MALB381CLSM199908,UP16FH1141,"78212956"
"607417-042-0320027",MALPA812LSM277142,HP71A8339,"78223343"
"607417-042-0320272",MAR6341132SPKD3912,UK07HG2916,"78294728"
"607417-042-0320339",MAR627503SLH22370,UK15E1148,"78313171"
"607417-042-0321456",MZBFB813LSN569615,MH28CC4287,"78242745"
"607417-042-0323960",MZBFB812LSN573778,UP21DP9495,"78342258"
"607417-042-0324091",MBHHWB13SSKB25461,UP15EZ4879,"78282568"
"607417-042-0324124",MBHHWB13SSKB41463,UP37AB1427,"78333655"
"607417-042-0324261",MBHKWD13SSL710546,UP32RE1118,"78300513"
"607417-042-0324297",MA3CNC62SSL434561,UP32RD9432,"78330448"
"607417-042-0324526",MA3JDT08WSHF16948,UP32RF1042,"78355945"
"607417-042-0324536",MA3ZFDFSKSL332881,UP32RF0377,"78343363"
"607417-042-0324574",MBHHWB13SSLB57094,UP32RF1049,"78354225"
"607417-042-0324702",MBJABBAF601709368,UP32RE5769,"78320632"
"607417-042-0324803",MALB351CLSM713014,UP20CX5623,"78320625"
"607417-042-0324805",MALB241CLSM407479,UP23BT5102,"78308463"
"607417-042-0324817",MALBH512LSM379065,UP20CX5225,"78297487"
"607417-042-0324852",MALPC813LSM917828,UP38AL9659,"78346722"
"607417-042-0325173",MALB581CCYSM206372,UP15EZ7674,"78214331"
"607417-042-0325235",MALB351CLSM699454,UP15FA8148,"78346986"
"607417-042-0325329",MA1RV2TUKS6K27605,UP53LT8154,"78355490"
"607417-042-0325469",MA1VP251BS6J95428,KL59AC0500,"78278133"
"607417-042-0325514",MA1NS2NVPS2L84239,KL58AN1233,"78322653"
"607417-042-0326833",MA3YPMCSKS111787,GA06K0750,"78340925"
"607417-042-0327457",MAT627604SLK34384,KA22ME8714,"78223360"
"607417-042-0333315",MZBEP812TSN722932,TG08AH7888,"78259181"
"607417-042-0333326",MZBFB811LSN583050,TG08AJ4721,"78264429"
"607417-042-0333851",MA3BNC62SSLB67763,UP53FP9214,"78345645"
"607417-042-0333872",MA3SFM61SSK429696,UP56BF7394,"78265669"
"607417-042-0333911",MA3BNC62SSLB54972,UP55AY5263,"78331443"
"607417-042-0333986",MA3ZFDFSKSL317777,BR28AJ7714,"78312611"
"607417-042-0334044",MBHZCDESKSL459326,UP54BD4263,"78304035"
"607417-042-0334310",MBHZCDESKSL459934,UP44BV4244,"78333614"
"607417-042-0334316",MBHZCDESKSL467988,UP36Z8350,"78344399"
"607417-042-0334480",MA3JMTB1SSLD96282,UP53FP2042,"78313320"
"607417-042-0334497",MA3ZFDFSKSK309057,UP32RE9505,"78338870"
"607417-042-0334512",MA3SFM61SSL434276,UP53FP3332,"78346807"
"607417-042-0334515",MA3JMTB1SSLE01142,UP52CK6905,"78347794"
"607417-042-0334664",MA3RYHK1SSL704338,UP57CB3584,"78348718"
"607417-042-0335350",MAT634132SPNF0915,UK04AS0209,"78344471"
"607417-042-0335364",MAKDG589HS4102306,TG07AK7832,"78237144"
"607417-042-0335968",MA1NS2NP1S2F76754,UK07HJ1109,"78333769"
"607417-042-0336212",MBHHWB13SSKN43907,UP13CU5507,"78298324"
"607417-042-0336400",MAT632520SLK09402,HP03E2323,"78321540"
"607417-042-0343917",MBHKWD43SSJ675047,MH12YS5493,"78216256"
"607417-042-0354647",MA3BNC62SSJB26915,MH46DA7105,"78299583"
"607417-042-0354651",MBJABBADX01711267,MH02GP7296,"78303560"
"607417-042-0382504",MBJAB3EM904575582,BR06EH6777,"78352465"
"607417-042-0382558",MBHJWC13SSJB18622,BR06EG3659,"78289107"
"607417-042-0382818",MALFC81BLSM747557,UK08BK4538,"78306008"
"607417-042-0382893",MALFC81BLSM774405,UK17AA7302,"78335516"
"607417-042-0382943",MALFG81FLSD024027,UK07HH4964,"78345311"
"607417-042-0383282",MZBFB812LSN584896,UP26AY9010,"78312456"
"607417-042-0383361",MALPC812LSM277342,UK08BK2092,"78258836"
"607417-042-0383790",MBHKWD13SSL717713,UP12CE1992,"78355707"
"607417-042-0383863",MAT634132SPJC7828,UP70HS9831,"78313249"
"607417-042-0383877",MAT867013SPNE8160,UP70HV9806,"78335661"
"607417-042-0384657",MA3JMTB1SSED15531,UP78JK0131,"78333660"
"607417-042-0384668",MA3BNC62SSLB57115,UP74AQ3345,"78287234"
"607417-042-0384689",MA3ZFDFSKSL322206,UP77AW1792,"78325100"
"607417-042-0384965",MA1VR251BS6J86408,UP16FH9799,"78310575"
"607417-042-0384976",MA1VP271BS6K91829,UP16FJ2697,"78320147"
"607417-042-0385246",MA1NE2ZRFS6K52867,UP16FJ2261,"78355705"
"607417-042-0385879",MZBGB814LSN287504,WB05D0203,"78273502"
"607417-042-0385907",MZBGB814LSN292418,WB05D1877,"78324269"
"607417-042-0386542",MA1NE2ZSAS6K52511,UP16FH9461,"78351136"
"607417-042-0386756",MA3RYHK1SSL705119,PB65BM5479,"78334900"
"607417-042-0386758",MA3YPKCSKSJ105674,PB65BM3892,"78313093"
"607417-042-0386825",MZBFF811VSN579696,UP14GY3966,"78315795"
"607417-042-0386849",MZBGB814LSN293061,UP16FJ4182,"78346200"
"607417-042-0386864",MZBEP812LSN741150,UP16FH5077,"78252788"
"607417-042-0386923",MZBEN812LSN706502,HR87W0287,"78313783"
"607417-042-0386950",MZBFB812LSN581517,UP15FA4554,"78298627"
"607417-042-0387047",MAT634131SPKD1616,HP953879,"78312983"
"607417-042-0387218",MA3BNC62SSHA99735,KA54M5215,"78284980"
"607417-042-0387407",MA3JDT08WSKF45550,KA41MG0928,"78267146"
"607417-042-0403974",MBJABBAA40527043,MH12YX9156,"78329708"
"607417-042-0404039",MBJAB3EM004574594,MH16DW0077,"78308720"
"607417-042-0404056",MBJAB3EM004573011,MH14MV6996,"78314951"
"607417-042-0404124",MBJJB8EM501698293,MH14MT3038,"78262783"
"607417-042-0415763",MBJUYMM1SSL194117,MH14MQ5859,"78344869"
"607417-042-0416966",MAT634136SPNF3717,UK07HH4485,"78347182"
"607417-042-0416977",MAT627406RLV32150,"25BH1037T","78341238"
"607417-042-0419071",MA3RYHK1SSE624665,UP32RE3126,"78299026"
"607417-042-0419117",MA3RYHK1SSL706067,UP32RF0415,"78347931"
"607417-042-0419362",MBHZCDESKSE349094,UP41BS2858,"78290874"
"607417-042-0544046",MZBB2811VSN022706,MH27EC1697,"78352695"
"607417-040-0599660",MAT627503SLK35204,,"78336149"
"607417-042-0383902",MAT627503SLK35554,,"78346755"
"607417-042-0320265",MAT627504SAKA6237,,"78298023"
"607417-042-0239762",MAT627505SAKA7090,UP23AV2016,"78320902"
"607417-038-0321022",MAT627506SAJ89095,UP61BR9338,"78230276"
"607417-038-0731439",MAT627506SLK33802,MH37AH5036,"78293121"
"607417-042-0335559",MAT627511SANNB4395,,"78310493"
"607417-037-0933559",MAT627511SAG63900,GJ06RE5023,"78214459"
"607417-038-0731389",MAT627593SAJ85088,MH30BW8505,"78292679"
"607417-042-0383880",MAT627599SANB2568,,"78339288"
"607417-038-0731436",MAT627599SAKB0730,MH26CY8111,"78287225"
"607417-042-0267490",MAT627601SAH82012,GJ24BF1809,"78291572"
"607417-042-0163169",MAT627605SAH81085,MP04YW1526,"78330218"
"607417-035-0660980",MAT627605SANB5721,MP20XA9006,"78303691"
"607417-042-0223252",MAT627610SLK33045,PB06BM1976,"78246810"
"607417-042-0383882",MAT627611SLN38267,,"78339948"
"607417-042-0320195",MAT627612SAH79626,,"78290587"
"607417-038-0731334",MAT627615SLK34618,MH26CY1610,"78351522"
"607417-042-0316480",MAT627619SANB3598,KA22ME9585,"78314519"
"607417-042-0337207",MAT627623SAKA7540,,"78300145"
"607417-042-0159469",MAT627631SAJ86293,,"78311084"
"607417-042-0320219",MAT627631SANB3370,,"78296730"
"607417-042-0321647",MAT627631SLA03854,,"78211084"
"607417-042-0316495",MAT627631SLG21409,,"78325627"
"607417-042-0319678",MAT627631SLK34539,,"78270430"
"607417-038-0731450",MAT627631SLK36072,MH37AH5130,"78294530"
"607417-042-0383904",MAT627631SLN41284,,"78347788"
"607417-042-0335529",MAT627632SLK33280,UK04AR8711,"78285151"
"607417-042-0416975",MAT627633LJ2647,,"78343326"
